model_name,type,margin,right_class,all_class,size_dataset,train/bbox_loss,train/cls_loss,train/dfl_loss,train/num_epochs,train/mean_time_epoch,train/total_time,val/precision,val/recall,val/mAP50,val/mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,test/accuracy,test/precision,test/recall,test/fscore,test/mAP50-95,test/precision-circle,test/recall-circle,test/fscore-circle,test/precision-rect,test/recall-rect,test/fscore-rect,test/mean_confidence,test/mean_IoU,dataset/mean_IoU_train,dataset/mean_IoU_val,dataset/missing_bbox_train,dataset/missing_bbox_val,dataset/wrong_cls_train,dataset/wrong_cls_val
yolo-0_10-100-85-100-bbox_larger,bbox_larger,0_10,100,85,100,1.4135,0.61607,1.0425,13,0.95709259051543,12.4422036767006,0.85063,0.99765,0.85321,0.54606,1.4306,0.58317,1.05278,0.644236572118286,0.783285027699307,0.783975324055374,0.783630023857589,0.266481988158205,0.935944497467146,0.936047578839165,0.935996035315064,0.630793487826342,0.631836045102288,0.631314336042863,0.616644700933706,0.653113254321084,0.920914615658993,0.921022509879648,0.149002130180421,0.147117479779887,0,0
yolo-0_10-100-85-100-bbox_smaller,bbox_smaller,0_10,100,85,100,1.7179,0.79125,1.0545,15,0.830064460171594,12.4509669025739,0.75495,0.7019,0.67422,0.33249,1.76987,0.76338,1.07299,0.586559592855136,0.854323602320041,0.651746043403224,0.739410729350011,0.234148125675642,0.890543588148379,0.840816476375785,0.864965915742961,0.795490431377503,0.462592279722334,0.58499767765908,0.531457090829817,0.659090589872768,0.909300013586489,0.909063135180956,0.149002130180421,0.147117479779887,0,0
yolo-0_5-90-95-100-bbox_larger_smaller,bbox_larger_smaller,0_5,90,95,100,1.2748,0.76664,0.98124,15,0.841234756575691,12.6185213486354,0.82993,0.87364,0.80875,0.50133,1.29434,0.7557,0.98574,0.991888295448331,0.992829383107997,0.99904527595197,0.995927630796263,0.980935699161005,0.99996328928047,1,0.99998164430331,0.985780099394203,0.998090131119844,0.991896923020769,0.590769399930089,0.973514627009352,0.959623149160773,0.959394387896512,0.0504490567659318,0.0499870739003582,0.0993800063357017,0.100569518144887
yolo-0_5-90-95-100-bbox_larger,bbox_larger,0_5,90,95,100,0.88623,0.58809,0.86217,15,0.808116335074107,12.1217450261116,0.8544,0.89941,0.8311,0.65678,0.89175,0.57575,0.85656,0.999743015529204,0.999779719509509,0.999963279844307,0.999871491252226,0.626612911231275,1,1,1,0.999559422843926,0.999926543504609,0.99974294947121,0.725589339032236,0.793565414182633,0.962216255561239,0.961834946006185,0.0504490567659318,0.0499870739003582,0.0993800063357017,0.100569518144887
yolo-0_5-90-95-100-bbox_smaller,bbox_smaller,0_5,90,95,100,1.0248,0.64233,0.86881,15,0.816370094352298,12.2455514152845,0.84102,0.88197,0.82117,0.58515,1.02751,0.63538,0.86031,0.989851792363291,0.994097591377351,0.995703741783865,0.994900018345258,0.581422383631644,1,1,1,0.988211605345049,0.991405590039299,0.989806021048,0.657298797867111,0.770746193747536,0.943124411264475,0.943011029918649,0.0504490567659318,0.0499870739003582,0.0993800063357017,0.100569518144887
yolo-0_10-95-95-10-bbox_larger_smaller,bbox_larger_smaller,0_10,95,95,10,1.824,1.3441,1.1768,14,0.163034305402211,2.28248027563095,0.72415,0.64897,0.67661,0.28716,1.83782,1.3346,1.17341,0.603655761283158,0.986287108096853,0.608765101164029,0.752849552699696,0.539228123033614,0.987135973182485,0.864862880428797,0.921963055729493,0.984209986670768,0.352554449627208,0.51914548404543,0.481753935734793,0.925602551449101,0.9334629105302,0.93441289707691,0.0514836886404129,0.0492854525467204,0.0490316730358184,0.047793409134708
yolo-0_10-95-95-10-bbox_larger,bbox_larger,0_10,95,95,10,1.4567,0.8566,1.0154,4,0.347300549348195,1.38920219739278,0.89775,0.93726,0.89042,0.50624,1.50679,1.40084,1.03531,0.25779317169718,0.992871259175607,0.258271215069952,0.409913453973249,0.120161927034122,0.993326978074357,0.497301663056647,0.662785008317839,0.981167608286252,0.0191354170492526,0.0375387275740327,0.380842823989559,0.726880921752654,0.922225620950962,0.922625024314154,0.0514836886404129,0.0492854525467204,0.0490316730358184,0.047793409134708
yolo-0_10-95-95-10-bbox_smaller,bbox_smaller,0_10,95,95,10,1.7746,1.0213,1.0311,4,0.315424638986588,1.26169855594635,0.84162,0.57567,0.6489,0.2949,1.86173,1.63038,1.04364,0.0596151727683325,1,0.0596151727683325,0.112522308665292,0.0334659708466352,1,0.119204082381879,0.213015810535984,0,0,0,0.284316308789522,0.755093000297469,0.909310511055179,0.915325187988869,0.0514836886404129,0.0492854525467204,0.0490316730358184,0.047793409134708
yolo-0_10-100-85-10-bbox_larger_smaller,bbox_larger_smaller,0_10,100,85,10,1.8812,1.437,1.2008,6,0.263387358850903,1.58032415310542,0.65637,0.60537,0.64739,0.27737,1.8489,1.50717,1.1785,0.193625380971615,1,0.193625380971615,0.324432412477696,0.176646870466925,1,0.332648041411212,0.499228650137741,1,0.0545414478275241,0.103441069935915,0.321881675019948,0.933519657774265,0.933338202037055,0.935680878652318,0.146648645327763,0.150421399780139,0,0
yolo-0_10-100-85-10-bbox_larger,bbox_larger,0_10,100,85,10,1.4398,0.75912,1.0363,10,0.200757206678391,2.00757206678391,0.84496,0.99503,0.86193,0.51756,1.43588,0.74268,1.04593,0.569231876754733,0.725098578633654,0.72588403774832,0.725491095595049,0.226475790871726,0.918869309838473,0.918903043430376,0.918886176324822,0.53164742532527,0.532779961068058,0.532213090695627,0.59092352708454,0.646470362446333,0.9229801845245,0.922471979852035,0.146648645327763,0.150421399780139,0,0
